,n_cylinders,Engine stroke_ four-stroke,Fuel system_reduced_0,Fuel control_Other,Cooling system_Liquid,Cooling system_Air,Cooling system_Oil & air,Transmission type_Chain,Transmission type_Belt,Transmission type_Shaft drive,n_disks_front,abs,has_front_disk,n_pistons_front,n_disks_rear,has_rear_disk,n_pistons_rear,Category,Rear tire_width,Rear tire_height,Rear tire_diameter,Front tire_width,Front tire_height,Front tire_diameter,reartyre_speed,fronttyre_speed,Rear tire_construction_B,Front tire_construction_B,Rear tire_label_format_I,Rear tire_label_format_N,Rear tire_label_format_A,Front tire_label_format_I,Front tire_label_format_N,Front tire_label_format_A
11112,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0,1,4.0,1.0,0.0,4.0,Touring,180.0,117.0,406.4,130.0,104.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11113,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0,1,4.0,1.0,0.0,4.0,Touring,180.0,117.0,406.4,130.0,104.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11114,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0,1,4.0,1.0,0.0,4.0,Touring,180.0,99.0,457.2,130.0,91.0,457.2,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11115,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0,1,4.0,1.0,0.0,4.0,Touring,180.0,99.0,457.2,130.0,91.0,457.2,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11116,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0,1,4.0,1.0,0.0,4.0,Touring,180.0,99.0,457.2,130.0,91.0,457.2,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11119,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0,1,4.0,1.0,0.0,4.0,Touring,180.0,117.0,406.4,130.0,104.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11120,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1.0,1,4.0,1.0,0.0,4.0,Touring,180.0,117.0,406.4,130.0,104.0,431.79999999999995,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11156,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,0.0,1,1.0,1.0,0.0,1.0,Custom,240.0,96.0,457.2,120.0,84.0,482.59999999999997,167.05882352941177,300.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
11162,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,1.0,1.0,0.0,1.0,Custom,150.0,120.0,406.4,90.0,73.42318299461157,533.4,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
11191,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Custom,150.0,120.0,406.4,100.0,90.0,482.59999999999997,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
11192,2,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,2.0,1.0,0.0,1.0,Custom,150.0,120.0,406.4,100.0,90.0,482.59999999999997,167.05882352941177,167.05882352941177,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
